#Name,Long(deg),Lat(deg),East(m),North(m),Altitude(m)
SouthHex1,116.670755,-26.70191132,-3.49,156.590067,376.351
SouthHex2,116.6708957,-26.70191132,10.51,156.590067,376.351
SouthHex3,116.6710363,-26.70191132,24.51,156.590067,376.351
SouthHex4,116.671177,-26.70191132,38.51,156.590067,376.351
SouthHex5,116.6706846,-26.70202073,-10.49,144.4657113,376.351
SouthHex6,116.6708253,-26.70202073,3.51,144.4657113,376.351
SouthHex7,116.670966,-26.70202073,17.51,144.4657113,376.351
SouthHex8,116.6711067,-26.70202073,31.51,144.4657113,376.351
SouthHex9,116.6712474,-26.70202073,45.51,144.4657113,376.351
SouthHex10,116.6706143,-26.70213014,-17.49,132.3413557,376.351
SouthHex11,116.670755,-26.70213014,-3.49,132.3413557,376.351
SouthHex12,116.6708957,-26.70213014,10.51,132.3413557,376.351
SouthHex13,116.6710363,-26.70213014,24.51,132.3413557,376.351
SouthHex14,116.671177,-26.70213014,38.51,132.3413557,376.351
SouthHex15,116.6713177,-26.70213014,52.51,132.3413557,376.351
SouthHex16,116.6705439,-26.70223955,-24.49,120.217,376.351
SouthHex17,116.6706846,-26.70223955,-10.49,120.217,376.351
SouthHex18,116.6708253,-26.70223955,3.51,120.217,376.351
SouthHex19,116.6711067,-26.70223955,31.51,120.217,376.351
SouthHex20,116.6712474,-26.70223955,45.51,120.217,376.351
SouthHex21,116.6713881,-26.70223955,59.51,120.217,376.351
SouthHex22,116.6706143,-26.70234896,-17.49,108.0926444,376.351
SouthHex23,116.670755,-26.70234896,-3.49,108.0926444,376.351
SouthHex24,116.6708957,-26.70234896,10.51,108.0926444,376.351
SouthHex25,116.6710363,-26.70234896,24.51,108.0926444,376.351
SouthHex26,116.671177,-26.70234896,38.51,108.0926444,376.351
SouthHex27,116.6713177,-26.70234896,52.51,108.0926444,376.351
SouthHex28,116.6706846,-26.70245837,-10.49,95.96828869,376.351
SouthHex29,116.6708253,-26.70245837,3.51,95.96828869,376.351
SouthHex30,116.670966,-26.70245837,17.51,95.96828869,376.351
SouthHex31,116.6711067,-26.70245837,31.51,95.96828869,376.351
SouthHex32,116.6712474,-26.70245837,45.51,95.96828869,376.351
SouthHex33,116.670755,-26.70256778,-3.49,83.84393304,376.351
SouthHex34,116.6708957,-26.70256778,10.51,83.84393304,376.351
SouthHex35,116.6710363,-26.70256778,24.51,83.84393304,376.351
SouthHex36,116.671177,-26.70256778,38.51,83.84393304,376.351
#EastHex1,116.6716578,-26.70073205,86.352,287.221067,375.032
#EastHex2,116.6717985,-26.70073205,100.352,287.221067,375.032
#EastHex3,116.6719391,-26.70073205,114.352,287.221067,375.032
#EastHex4,116.6720798,-26.70073205,128.352,287.221067,375.032
#EastHex5,116.6715875,-26.70084149,79.352,275.0967113,375.032
#EastHex6,116.6717281,-26.70084149,93.352,275.0967113,375.032
#EastHex7,116.6718688,-26.70084149,107.352,275.0967113,375.032
#EastHex8,116.6720095,-26.70084149,121.352,275.0967113,375.032
#EastHex9,116.6721501,-26.70084149,135.352,275.0967113,375.032
#EastHex10,116.6715172,-26.70095092,72.352,262.9723557,375.032
#EastHex11,116.6716578,-26.70095092,86.352,262.9723557,375.032
#EastHex12,116.6717985,-26.70095092,100.352,262.9723557,375.032
#EastHex13,116.6719391,-26.70095092,114.352,262.9723557,375.032
#EastHex14,116.6720798,-26.70095092,128.352,262.9723557,375.032
#EastHex15,116.6722204,-26.70095092,142.352,262.9723557,375.032
#EastHex16,116.6714468,-26.70106036,65.352,250.848,375.032
#EastHex17,116.6715875,-26.70106036,79.352,250.848,375.032
#EastHex18,116.6717281,-26.70106036,93.352,250.848,375.032
#EastHex19,116.6720095,-26.70106036,121.352,250.848,375.032
#EastHex20,116.6721501,-26.70106036,135.352,250.848,375.032
#EastHex21,116.6722908,-26.70106036,149.352,250.848,375.032
#EastHex22,116.6715172,-26.7011698,72.352,238.7236444,375.032
#EastHex23,116.6716578,-26.7011698,86.352,238.7236444,375.032
#EastHex24,116.6717985,-26.7011698,100.352,238.7236444,375.032
#EastHex25,116.6719391,-26.7011698,114.352,238.7236444,375.032
#EastHex26,116.6720798,-26.7011698,128.352,238.7236444,375.032
#EastHex27,116.6722204,-26.7011698,142.352,238.7236444,375.032
#EastHex28,116.6715875,-26.70127923,79.352,226.5992887,375.032
#EastHex29,116.6717281,-26.70127923,93.352,226.5992887,375.032
#EastHex30,116.6718688,-26.70127923,107.352,226.5992887,375.032
#EastHex31,116.6720095,-26.70127923,121.352,226.5992887,375.032
#EastHex32,116.6721501,-26.70127923,135.352,226.5992887,375.032
#EastHex33,116.6716578,-26.70138867,86.352,214.474933,375.032
#EastHex34,116.6717985,-26.70138867,100.352,214.474933,375.032
#EastHex35,116.6719391,-26.70138867,114.352,214.474933,375.032
#EastHex36,116.6720798,-26.70138867,128.352,214.474933,375.032
#11,116.66928508,-26.70094317,-149.785,265.814,377.011
#12,116.66983186,-26.70090368,-95.365,270.188,377.285
#13,116.66990073,-26.70094128,-88.512,266.021,377.309
